id,number,author,mergedBy,comments,reviews
PR_kwDOCqswNs5d5t3g,5532,{'login': 'davidkna'},{'login': 'davidkna'},[],"[{'id': 'PRR_kwDOCqswNs5lZlJQ', 'state': 'APPROVED', 'author': {'login': 'lutzky'}}, {'id': 'PRR_kwDOCqswNs5lpk8r', 'state': 'APPROVED', 'author': {'login': 'sharunkumar'}}, {'id': 'PRR_kwDOCqswNs5mSwze', 'state': 'APPROVED', 'author': {'login': 'andytom'}}]"
PR_kwDOCqswNs5d_Awv,5534,{'login': 'maxmynter'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5qt992', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5l6ro4', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5el9-q,5550,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5q5US-', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5el9-6,5551,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5q5UTQ', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5emAtt,5552,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5q5WYX', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5emDG6,5553,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5q5YNt', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5emDHM,5554,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5q5YN9', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5evSsL,5556,{'login': 'renovate'},{'login': 'renovate'},"[{'id': 'IC_kwDOCqswNs5rFKEC', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ewAC-,5557,{'login': 'arcuru'},,[],[]
PR_kwDOCqswNs5ewCAe,5558,{'login': 'renovate'},{'login': 'renovate'},"[{'id': 'IC_kwDOCqswNs5rHQYI', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ewwXR,5560,{'login': 'renovate'},{'login': 'renovate'},"[{'id': 'IC_kwDOCqswNs5rJ9NQ', 'author': {'login': 'renovate'}}]",[]
